id,count,stock,url,date,author,snippet,type
1,1,Bharti Airtel Limited (BSE:532454),https://twitter.com/sherl0ckai/status/1922685795875340796,2025-05-14 16:09:50,sherl0ckai,"Bharti Airtel Limited Q4 FY 2025 Earnings Call Summary (@airtelindia)

https://t.co/NAYiU4pbqX",reporting
2,2,Bharti Airtel Limited (BSE:532454),https://twitter.com/gaze_observer/status/1922261937464717719,2025-05-13 12:05:34,gaze_observer,"Bharti Airtel Limited Q4 FY25 Results:-
Consolidated
Revenue 47876.2 cr vs 37599.1 cr YoY up by 27.33% YoY &amp; up by 6.08% QoQ

PAT 12475.8 cr vs 2068.2 cr YoY &amp; 16134.6 cr QoQ
last Q3 Exceptional gain of 7545.6
This Q4 Tax Expense is negative 

#bhartiairtel #Q4FY25  #Q4Results https://t.co/f4P6pdgQGc",reporting
6,6,Bharti Airtel Limited (BSE:532454),https://twitter.com/BrightStake/status/1919913007632556061,2025-05-07 00:31:45,BrightStake,"Bondada Engineering Limited has reported that its subsidiary, Bondada Green Engineering Private Limited (BGEPL), received a domestic work order from Bharti Airtel Limited to supply 6-meter-high, 60kg Hot Dipped Galvanised GI poles to Tamil Nadu. The order, valued at â¹1.33 crore. https://t.co/EMizFuyBl2",reporting
15,15,Bharti Airtel Limited (BSE:532454),https://twitter.com/cqnow_/status/1919097627255415215,2025-05-04 18:31:44,cqnow_,"ð© Bharti Airtel Limited: 

Airtel has reiterated its request to the government to convert over 41,000 crore of adjusted gross revenue dues into equity to alleviate the financial strain on its promoter Bharti Telecom, which has a debt of around 40,000...
https://t.co/bCYNZVznJN",reporting
30,12,Infosys Limited (NSEI:INFY),https://twitter.com/cqnow_/status/1915599807718052215,2025-04-25 02:52:37,cqnow_,"ð¥ Infosys Limited: 

Infosys expects a slowdown in growth after a 4.2% revenue increase last year and has reduced its workforce by 6%, reflecting adjustments to a subdued global economy and changing client demands for AI-driven cost-cutting.
https://t.co/yeW4b3IQsW",reporting
32,14,Infosys Limited (NSEI:INFY),https://twitter.com/cqnow_/status/1914847672424640655,2025-04-23 01:03:55,cqnow_,"ð¥ Infosys Limited: 

Infosys experienced a decrease in large deals during FY25, which points to weaker revenue growth prospects for the upcoming year.
https://t.co/DGWMSkBCMJ",reporting
36,18,Infosys Limited (NSEI:INFY),https://twitter.com/ANKITSH85153215/status/1914355500378120633,2025-04-21 16:28:11,ANKITSH85153215,"$INFY Shares Gap Up â Hereâs What Happened

https://t.co/7XLvNvTUDq

Shares of Infosys Limited (NYSE:INFY) gapped up prior to trading on Monday, with analysts providing mixed ratings on the stock. The company recently reported earnings results, exceeding expectations. Variousâ¦",reporting
37,19,Infosys Limited (NSEI:INFY),https://twitter.com/sherl0ckai/status/1913528862220202005,2025-04-19 09:43:26,sherl0ckai,"Infosys Limited Q4 FY '25 Earnings Call Summary (@Infosys)

https://t.co/5OXLhg5j1F",reporting
38,20,Infosys Limited (NSEI:INFY),https://twitter.com/englopath/status/1913514429788168449,2025-04-19 08:46:06,englopath,"Recommended a final dividend of 22/- per equity share for the financial year ended March 31, 2025.

Q4 Result FY2024-25: Infosys Limited
#englopath
#Q4_Result_FY2024_25
#StockMarketIndia
#InfosysLimited https://t.co/wEHr5T1tf5",reporting
41,3,Hindustan Unilever Limited (BSE:500696),https://twitter.com/AayushGupt88249/status/1918883502612713648,2025-05-04 04:20:52,AayushGupt88249,"@HetalChheda5 Kisi ki research report mein aa jayega yeh share ab, dekhna like Hindustan unilever limited",reporting
