Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,other_liabilities_2022,other_liabilities_2023,other_liabilities_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About
B.A.G. Films and Media Limited (BSE:532507),BSE:532507,Broadcasting,Communication Services,"<td class="""">121</td>","<td class="""">112</td>","<td class="""">132</td>","<td class="""">101</td>","<td class="""">99</td>","<td class="""">110</td>",2,1,2,10,9,10,6,5,5,4%,18%,20%,0%,0%,0%,40,40,40,104,102,111,134,125,108,106,118,120,33,30,28,1,1,1,125,125,125,223,229,225,-11,-5,19,28,0,-2,-9,-11,-13,163,8.24,276,46.86%,"Business Overview: [1] BAGFML produces programmes for all genres. It creates wide range from movies, daily soaps, drama and comedy to OTT for different age groups, formats, media and news and non news platforms. Company pitched content production to various OTT platforms including MX player, Applause, etc."
Entertainment Network (India) Limited (NSEI:ENIL),NSEI:ENIL,Broadcasting,Communication Services,"<td class="""">319</td>","<td class="""">511</td>","<td class="""">536</td>","<td class="""">274</td>","<td class="""">597</td>","<td class="""">429</td>",14,24,28,17,17,15,87,90,80,-20%,-3%,17%,-13%,-3%,22%,48,48,48,713,544,724,235,197,193,110,413,292,641,546,497,1,1,1,217,283,308,248,372,450,40,114,127,6,-59,-41,-45,-43,-40,724,152,31.3,71.15%,"Overview [1] ENIL, incorporated in June 1999, has acquired FM radio licences across 63 cities. It is a subsidiary of BCCL (71% stake). The company has 73 frequencies located in 63 cities in India. After 19 years, the Radio Mirchi brand has been changed to just Mirchi."
Network18 Media & Investments Limited (NSEI:NETWORK18),NSEI:NETWORK18,Broadcasting,Communication Services,"<td class="""">5,880</td>","<td class="""">6,223</td>","<td class="""">9,297</td>","<td class="""">4,799</td>","<td class="""">6,086</td>","<td class="""">9,955</td>",74,183,801,97,209,322,120,128,210,11%,-1%,-17%,0%,0%,0%,518,518,518,237,157,"14,710","2,284","6,069","8,156","6,101","7,236","16,498","2,876","3,055","3,681",259,916,"11,627",869,958,"4,188","5,137","9,051","20,385",641,"-2,804","-6,465",-249,-718,"9,929",-381,"3,411","1,139","7,665",49.7,,56.89%,"India’s Most Diversified Media Group Network18 Group is India’s only media and entertainment conglomerate with a presence across the complete spectrum of content genres – news, entertainment, sports, movies, and live entertainment, across multiple platforms like TV, digital, cinemas and on-ground. [1]"
New Delhi Television Limited (NSEI:NDTV),NSEI:NDTV,Broadcasting,Communication Services,"<td class="""">396</td>","<td class="""">386</td>","<td class="""">370</td>","<td class="""">294</td>","<td class="""">328</td>","<td class="""">398</td>",23,25,22,10,3,5,19,17,9,12%,16%,7%,0%,0%,0%,26,26,26,207,254,233,22,8,113,225,179,228,68,49,133,0,0,36,32,32,35,379,385,395,155,-13,-68,-78,40,50,-81,-19,21,910,141,,64.71%,"Revenue Split The company majorly gets its revenue from advertisements sales, event sales and subscription revenue (DTH and cable operators). Advertising Sales : 63% in FY21 vs 65% in FY18 Subscription Revenue : 9% in FY21 vs 13% in FY18 Events : 4% in FY21 vs 8% in FY18 Other Business Income: 6% in FY21 vs 11% in FY18. [1] [2]"
Next Mediaworks Limited (NSEI:NEXTMEDIA),NSEI:NEXTMEDIA,Broadcasting,Communication Services,"<td class="""">26</td>","<td class="""">36</td>","<td class="""">38</td>","<td class="""">36</td>","<td class="""">38</td>","<td class="""">41</td>",5,5,-7,16,18,21,9,9,9,0%,0%,0%,0%,0%,0%,67,67,67,-118,-133,-155,158,188,213,-6,-30,-46,70,63,43,0,0,0,5,0,2,26,29,33,-11,-1,2,-5,3,-2,17,-2,5,46.8,7,,74.99%,"Next Radio Next Radio Limited was among the first private players to venture into private FM broadcasting and presently has established ""Radio One"" as the premium FM Brand in top 7 cities of the country being Delhi, Mumbai, Chennai, Kolkata, Bangalore, Pune, and Ahmedabad. The Company operates under frequency 94.3MHz in all its cities except for the city of Ahmedabad where it operates under the frequency 95 MHz. [1]"
Sea TV Network Limited (BSE:533268),BSE:533268,Broadcasting,Communication Services,"<td class="""">13</td>","<td class="""">12</td>","<td class="""">12</td>","<td class="""">15</td>","<td class="""">16</td>","<td class="""">16</td>",0,4,36,0,0,1,1,1,1,0%,0%,0%,0%,0%,0%,12,12,12,-81,-82,-52,68,67,26,21,22,30,9,9,8,0,0,0,0,0,0,12,10,7,-2,-1,8,0,0,0,3,1,-7,9.81,8.15,,58.49%,"Products & Services: [1] Set Top Boxes, Broadband Internet, Optical Fibre Cable, and Advanced Cable Network System"
Sun TV Network Limited (NSEI:SUNTV),NSEI:SUNTV,Broadcasting,Communication Services,"<td class="""">3,585</td>","<td class="""">3,772</td>","<td class="""">4,282</td>","<td class="""">1,306</td>","<td class="""">1,379</td>","<td class="""">1,644</td>",256,380,515,33,9,9,306,486,532,25%,25%,26%,33%,35%,34%,197,197,197,"7,958","9,075","10,339",95,63,38,648,814,847,"1,791","1,729","1,707",244,131,145,"3,589","5,512","7,061","3,274","2,775","2,508","1,634","2,096","2,171","-1,026","-1,553","-1,313",-603,-631,-697,"24,831",630,13.6,75.00%,"Business [1] Company is one of the largest Television Broadcasters in India operating Satellite Television Channels across six languages of Tamil, Telugu, Kannada, Malayalam, Marathi and Bangla and presently airing FM radio. The Company produces its own content / acquires the related rights. The Company is the owner of IPL franchise “SunRisers Hyderabad” & SunRisers Eastern Cape Cricket South Africa’s T20 League, and also opened a branch office in South Africa. The Company also operates an OTT platform “SUNNXT“"
T.V. Today Network Limited (NSEI:TVTODAY),NSEI:TVTODAY,Broadcasting,Communication Services,"<td class="""">930</td>","<td class="""">878</td>","<td class="""">952</td>","<td class="""">686</td>","<td class="""">747</td>","<td class="""">863</td>",44,34,33,3,3,3,42,41,41,25%,27%,27%,10%,473%,90%,30,30,30,"1,128",799,838,32,34,34,222,210,225,227,214,193,1,1,3,0,0,0,"1,183",857,930,235,41,15,-211,371,35,-22,-427,-28,"1,113",186,10.8,58.45%,"Market Position Aaj Tak has maintained its leadership among Hindi news channels in the new Audience Measurement System BARC with a total viewership of 85 crore Gross AMAs. India Today Television has also obtained leadership positions in critical news and events. Good News Today has the second highest reach among Hindi news channels in the Freeview distribution platform, crossing news channels — Zee News, ABP News, Zee Hindustan, and Times Now Navbharat in terms of viewership. [1]"
Zee Media Corporation Limited (NSEI:ZEEMEDIA),NSEI:ZEEMEDIA,Broadcasting,Communication Services,"<td class="""">867</td>","<td class="""">721</td>","<td class="""">638</td>","<td class="""">605</td>","<td class="""">660</td>","<td class="""">677</td>",-212,-12,21,38,30,24,85,92,85,62%,-5%,-22%,0%,0%,0%,63,63,63,394,325,227,244,199,246,270,286,433,329,340,555,1,2,0,80,58,42,561,472,370,230,146,77,-166,-98,15,-120,-93,-92,975,15.6,,1.62%,"Product Profile: [1] [2] ZMCL is a part of the Essel group. It reaches to 220 million users through 15 news channels comprising 1 global, 3 national and 11 regional channels in the linear TV platform. It has also set up multi-lingual digital news platform i.e., Zeenews.com, wherein news is broadcast online in 9 languages – Hindi, English, Marathi, Bengali, Tamil, Telugu, Malayalam, Kannada and Gujarati. Company reaches out to 60+ million users through the digital platform . Its global channel WION, is available on Etisalat in MENA region and on Sky Channel in the UK market. From February 2023, ZMCL has moved out from Zee’s Channel Bouquet"
Hathway Cable and Datacom Limited (NSEI:HATHWAY),NSEI:HATHWAY,Cable TV,Communication Services,"<td class="""">1,793</td>","<td class="""">1,858</td>","<td class="""">1,981</td>","<td class="""">1,390</td>","<td class="""">1,538</td>","<td class="""">1,648</td>",121,128,165,0,1,2,368,357,354,17%,28%,30%,0%,0%,0%,354,354,354,"3,771","3,829","3,936",0,5,20,495,643,654,"1,592","1,632","1,540",57,48,28,"1,905","2,013","2,528","1,065","1,138",868,333,453,-410,-382,-303,274,0,0,-1,"2,632",14.9,28.2,75.00%,"Parent Group The company is a subsidiary of Reliance Group, a business conglomerate engaged in providing fixed lines through Fiber ISP and CATV services to millions of homes across Pan India. Its shareholding in the company is 53% [1] [2]"
