Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue
B.A.G. Films and Media Limited (BSE:532507),BSE:532507,Broadcasting,Communication Services,121,112,132,101,99,110,2,1,2,10,9,10,6,5,5,4%,18%,20%,0%,0%,0%,40,40,40,104,102,111,134,125,108,106,118,120,33,30,28,1,1,1,125,125,125,223,229,225,-11,-5,19,28,0,-2,-9,-11,-13,163,8.24,276,46.86,"Business Overview: [1] BAGFML produces programmes for all genres. It creates wide range from movies, daily soaps, drama and comedy to OTT for different age groups, formats, media and news and non news platforms. Company pitched content production to various OTT platforms including MX player, Applause, etc.",Micro,32,22,30,0.242424242,0.196428571,0.247933884,0.228928899,19.7815534,1.234848485,225.6666667,351,355,349,-6,-6,-0.25,-0.272727273,151,142,144,259,267,278,0.123552124,0.082397004,0.107913669,-2.5,0.818181818,0.416988417,0.468164794,0.482014388,7.973981942,1.6,17.1,13.29455618,0.34828496,0.015151515
Entertainment Network (India) Limited (NSEI:ENIL),NSEI:ENIL,Broadcasting,Communication Services,319,511,536,274,597,429,14,24,28,17,17,15,87,90,80,-20%,-3%,17%,-13%,-3%,22%,48,48,48,713,544,724,235,197,193,110,413,292,641,546,497,1,1,1,217,283,308,248,372,450,40,114,127,6,-59,-41,-45,-43,-40,724,152,31.3,71.15,"Overview [1] ENIL, incorporated in June 1999, has acquired FM radio licences across 63 cities. It is a subsidiary of BCCL (71% stake). The company has 73 frequencies located in 63 cities in India. After 19 years, the Radio Mirchi brand has been changed to just Mirchi.",Small,122,-69,62,0.22761194,-0.135029354,0.194357367,0.095646651,4.763157895,1.350746269,356.6666667,759,656,466,224,-113,1.5,2.492753623,772,592,761,965,789,996,0.12642487,-0.087452471,0.062248996,0.142045455,-0.927536232,0.2,0.249683143,0.235943775,7.878501634,1.4,15.9,14.29570033,0.426751592,0.076492537
Network18 Media & Investments Limited (NSEI:NETWORK18),NSEI:NETWORK18,Broadcasting,Communication Services,5880,6223,9297,4799,6086,9955,74,183,801,97,209,322,120,128,210,11%,-1%,-17%,0%,0%,0%,518,518,518,237,157,14710,2284,6069,8156,6101,7236,16498,2876,3055,3681,259,916,11627,869,958,4188,5137,9051,20385,641,-2804,-6465,-249,-718,9929,-381,3411,1139,7665,49.7,,56.89,"Indiaâs Most Diversified Media Group Network18 Group is Indiaâs only media and entertainment conglomerate with a presence across the complete spectrum of content genres â news, entertainment, sports, movies, and live entertainment, across multiple platforms like TV, digital, cinemas and on-ground. [1]",Mid,-336,346,1178,-0.036140691,0.055600193,0.200340136,0.073266546,154.2253521,0.824459503,11524.33333,36200,10925,6265,16013,3525,-77.20833333,8.112716763,15228,675,755,23384,6744,3039,-0.014368799,0.051304864,0.387627509,0.184735577,0.092577598,0.348785494,0.899911032,0.751563014,3.879559789,1.2,14.7,10.92598741,0.233118528,-1.067978918
New Delhi Television Limited (NSEI:NDTV),NSEI:NDTV,Broadcasting,Communication Services,396,386,370,294,328,398,23,25,22,10,3,5,19,17,9,12%,16%,7%,0%,0%,0%,26,26,26,207,254,233,22,8,113,225,179,228,68,49,133,0,0,36,32,32,35,379,385,395,155,-13,-68,-78,40,50,-81,-19,21,910,141,,64.71,"Revenue Split The company majorly gets its revenue from advertisements sales, event sales and subscription revenue (DTH and cable operators). Advertising Sales : 63% in FY21 vs 65% in FY18 Subscription Revenue : 9% in FY21 vs 13% in FY18 Events : 4% in FY21 vs 8% in FY18 Other Business Income: 6% in FY21 vs 11% in FY18. [1] [2]",Small,-23,61,112,-0.062162162,0.158031088,0.282828283,0.126232403,6.453900709,2.459459459,386.3333333,466,417,411,0,52,-2.173913043,1.508196721,259,280,233,372,288,255,-0.061827957,0.211805556,0.439215686,-0.19047619,-0.303030303,0.303763441,0.027777778,0.08627451,29.12644141,1.4,15.9,19.91770935,0.61769616,-0.135135135
Next Mediaworks Limited (NSEI:NEXTMEDIA),NSEI:NEXTMEDIA,Broadcasting,Communication Services,26,36,38,36,38,41,5,5,-7,16,18,21,9,9,9,0%,0%,0%,0%,0%,0%,67,67,67,-118,-133,-155,158,188,213,-6,-30,-46,70,63,43,0,0,0,5,0,2,26,29,33,-11,-1,2,-5,3,-2,17,-2,5,46.8,7,,74.99,"Next Radio Next Radio Limited was among the first private players to venture into private FM broadcasting and presently has established ""Radio One"" as the premium FM Brand in top 7 cities of the country being Delhi, Mumbai, Chennai, Kolkata, Bangalore, Pune, and Ahmedabad. The Company operates under frequency 94.3MHz in all its cities except for the city of Ahmedabad where it operates under the frequency 95 MHz. [1]",Nano,18,16,6,0.473684211,0.444444444,0.230769231,0.382965962,6.685714286,1.231578947,29.33333333,35,29,31,22,22,1.111111111,1.5625,-88,-66,-51,125,122,107,0.144,0.131147541,0.056074766,0.666666667,0.666666667,1.704,1.540983607,1.476635514,9.853401764,1.8,18.3,3.906996607,0.487179487,0.052631579
Sea TV Network Limited (BSE:533268),BSE:533268,Broadcasting,Communication Services,13,12,12,15,16,16,0,4,36,0,0,1,1,1,1,0%,0%,0%,0%,0%,0%,12,12,12,-81,-82,-52,68,67,26,21,22,30,9,9,8,0,0,0,0,0,0,12,10,7,-2,-1,8,0,0,0,3,1,-7,9.81,8.15,,58.49,"Products & Services: [1] Set Top Boxes, Broadband Internet, Optical Fibre Cable, and Advanced Cable Network System",Nano,-3,-4,-2,-0.25,-0.333333333,-0.153846154,-0.245726496,1.203680982,0.8175,9.666666667,7,10,12,-11,-3,3.666666667,0.75,-40,-70,-69,-14,-3,-1,0.214285714,1.333333333,2,0,0.5,-1.857142857,-22.33333333,-68,1.282051282,1.8,18.3,49.9047619,0.8,0
Sun TV Network Limited (NSEI:SUNTV),NSEI:SUNTV,Broadcasting,Communication Services,3585,3772,4282,1306,1379,1644,256,380,515,33,9,9,306,486,532,25%,25%,26%,33%,35%,34%,197,197,197,7958,9075,10339,95,63,38,648,814,847,1791,1729,1707,244,131,145,3589,5512,7061,3274,2775,2508,1634,2096,2171,-1026,-1553,-1313,-603,-631,-697,24831,630,13.6,75,"Business [1] Company is one of the largest Television Broadcasters in India operating Satellite Television Channels across six languages of Tamil, Telugu, Kannada, Malayalam, Marathi and Bangla and presently airing FM radio. The Company produces its own content / acquires the related rights. The Company is the owner of IPL franchise âSunRisers Hyderabadâ & SunRisers Eastern Cape Cricket South Africaâs T20 League, and also opened a branch office in South Africa. The Company also operates an OTT platform âSUNNXTâ",Large,2647,2402,2312,0.61816908,0.636797455,0.644909344,0.63329196,39.41428571,5.798925736,2852.333333,9714,8418,7107,1263,1145,-0.018889309,-0.169858451,10536,9272,8155,10574,9335,8250,0.250331001,0.257311194,0.280242424,0.411622276,0.17235023,0.00359372,0.006748795,0.011515152,24.23558897,1,13.5,13.53858071,0.374923387,0.306632415
T.V. Today Network Limited (NSEI:TVTODAY),NSEI:TVTODAY,Broadcasting,Communication Services,930,878,952,686,747,863,44,34,33,3,3,3,42,41,41,25%,27%,27%,10%,473%,90%,30,30,30,1128,799,838,32,34,34,222,210,225,227,214,193,1,1,3,0,0,0,1183,857,930,235,41,15,-211,371,35,-22,-427,-28,1113,186,10.8,58.45,"Market Position Aaj Tak has maintained its leadership among Hindi news channels in the new Audience Measurement System BARC with a total viewership of 85 crore Gross AMAs. India Today Television has also obtained leadership positions in critical news and events. Good News Today has the second highest reach among Hindi news channels in the Freeview distribution platform, crossing news channels â Zee News, ABP News, Zee Hindustan, and Times Now Navbharat in terms of viewership. [1]",Small,92,134,247,0.096638655,0.15261959,0.265591398,0.171616548,5.983870968,1.169117647,990,933,858,1184,60,-314,1.032608696,0.425373134,868,829,1158,902,863,1190,0.101995565,0.155272306,0.207563025,1.897435897,0.159021407,0.037694013,0.039397451,0.026890756,9.007352941,1.4,15.9,15.64018847,0.845470693,-0.036764706
Zee Media Corporation Limited (NSEI:ZEEMEDIA),NSEI:ZEEMEDIA,Broadcasting,Communication Services,867,721,638,605,660,677,-212,-12,21,38,30,24,85,92,85,62%,-5%,-22%,0%,0%,0%,63,63,63,394,325,227,244,199,246,270,286,433,329,340,555,1,2,0,80,58,42,561,472,370,230,146,77,-166,-98,15,-120,-93,-92,975,15.6,,1.62,"Product Profile: [1] [2] ZMCL is a part of the Essel group. It reaches to 220 million users through 15 news channels comprising 1 global, 3 national and 11 regional channels in the linear TV platform. It has also set up multi-lingual digital news platform i.e., Zeenews.com, wherein news is broadcast online in 9 languages â Hindi, English, Marathi, Bengali, Tamil, Telugu, Malayalam, Kannada and Gujarati. Company reaches out to 60+ million users through the digital platform . Its global channel WION, is available on Etisalat in MENA region and on Sky Channel in the UK market. From February 2023, ZMCL has moved out from Zeeâs Channel Bouquet",Small,-15,91,300,-0.023510972,0.126213592,0.346020761,0.149574461,62.5,1.528213166,467.6666667,412,532,642,-267,-126,16.8,-2.461538462,290,388,457,536,587,701,-0.027985075,0.155025554,0.427960057,1.62745098,1.280701754,0.458955224,0.339011925,0.34807418,13.46841498,1.4,15.9,14.78401135,0.659772492,-0.023510972
Hathway Cable and Datacom Limited (NSEI:HATHWAY),NSEI:HATHWAY,Cable TV,Communication Services,1793,1858,1981,1390,1538,1648,121,128,165,0,1,2,368,357,354,17%,28%,30%,0%,0%,0%,354,354,354,3771,3829,3936,0,5,20,495,643,654,1592,1632,1540,57,48,28,1905,2013,2528,1065,1138,868,333,453,-410,-382,-303,274,0,0,-1,2632,14.9,28.2,75,"Parent Group The company is a subsidiary of Reliance Group, a business conglomerate engaged in providing fixed lines through Fiber ISP and CATV services to millions of homes across Pan India. Its shareholding in the company is 53% [1] [2]",Small,335,321,403,0.169106512,0.172766416,0.224762967,0.188878631,176.6442953,1.328621908,1023.666667,3424,3199,3027,214,24,1.456716418,-0.869158879,4290,4183,4125,4310,4188,4125,0.077726218,0.076647564,0.09769697,1.008196721,1.031746032,0.004640371,0.001193887,0,,1.4,15.9,,0.399073328,-0.138313983
