Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,Tax_Percent_2022,Tax_Percent_2023,Tax_Percent_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue,Revenue Growth Rates,Forecasted Revenues,Comparison with Biggest Player,Operating Margin Forecast,Forecasted EBIT,growth in operating income,sales/capital scenario 1,sales/capital scenario 2,sales/capital scenario 3,Industry ROIC,Forecasted Reinvestment Scenario 1,Forecasted Reinvestment Scenario 2,Forecasted Reinvestment Scenario 3,Year 10 ROIC(1),Year 10 ROIC(2),Year 10 ROIC(3),total_reinvestment(1),total_reinvestment(2),total_reinvestment(3)
B.A.G. Films and Media Limited (BSE:532507),BSE:532507,Broadcasting,Communication Services,121,112,132,101,99,110,2,1,2,10,9,10,6,5,5,4%,18%,20%,0%,0%,0%,40,40,40,104,102,111,134,125,108,106,118,120,33,30,28,1,1,1,125,125,125,223,229,225,-11,-5,19,28,0,-2,-9,-11,-13,163,8.24,46.86,"Business Overview: [1] BAGFML produces programmes for all genres. It creates wide range from movies, daily soaps, drama and comedy to OTT for different age groups, formats, media and news and non news platforms. Company pitched content production to various OTT platforms including MX player, Applause, etc.",Micro,32,22,30,0.242424242,0.196428571,0.247933884,0.228928899,19.7815534,1.234848485,225.6666667,351,355,349,-6,-6,-0.25,-0.272727273,151,142,144,259,267,278,0.123552124,0.082397004,0.107913669,-2.5,0.818181818,0.416988417,0.468164794,0.482014388,7.973981942,1.6,17.1,13.29455618,0.34828496,0.015151515,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[224, 368, 578, 867, 1248, 1722, 2256, 2798, 3301, 3697, 3882]",FALSE,"[np.float64(0.24), np.float64(0.26), np.float64(0.28), np.float64(0.3), np.float64(0.32), np.float64(0.34), np.float64(0.36), np.float64(0.38), np.float64(0.4), np.float64(0.42), np.float64(0.44)]","[np.float64(37.63), np.float64(66.98), np.float64(113.29), np.float64(182.07), np.float64(279.55), np.float64(409.84), np.float64(568.51), np.float64(744.27), np.float64(924.28), np.float64(1086.92), np.float64(1195.66)]",1654.33,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[76.67, 96.0, 110.53, 125.65, 141.11, 175.56, 197.78, 200.74, 186.3, 146.67, np.float64(994.73)]","[68.15, 120.0, 200.0, 321.11, 508.0, 729.23, 970.91, 1204.44, 1437.14, 1320.0, np.float64(994.73)]","[70.77, 90.0, 105.0, 120.42, 152.4, 189.6, 213.6, 258.1, 295.88, 304.62, np.float64(994.73)]",0.6334,0.1523,0.5278,2451.74,7873.71,2795.12
Entertainment Network (India) Limited (NSEI:ENIL),NSEI:ENIL,Broadcasting,Communication Services,319,511,536,274,597,429,14,24,28,17,17,15,87,90,80,-20%,-3%,17%,-13%,-3%,22%,48,48,48,713,544,724,235,197,193,110,413,292,641,546,497,1,1,1,217,283,308,248,372,450,40,114,127,6,-59,-41,-45,-43,-40,724,152,71.15,"Overview [1] ENIL, incorporated in June 1999, has acquired FM radio licences across 63 cities. It is a subsidiary of BCCL (71% stake). The company has 73 frequencies located in 63 cities in India. After 19 years, the Radio Mirchi brand has been changed to just Mirchi.",Small,122,-69,62,0.22761194,-0.135029354,0.194357367,0.095646651,4.763157895,1.350746269,356.6666667,759,656,466,224,-113,1.5,2.492753623,772,592,761,965,789,996,0.12642487,-0.087452471,0.062248996,0.142045455,-0.927536232,0.2,0.249683143,0.235943775,7.878501634,1.4,15.9,14.29570033,0.426751592,0.076492537,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[911, 1494, 2346, 3519, 5068, 6993, 9161, 11360, 13405, 15014, 15764]",TRUE,"[np.float64(0.23), np.float64(0.25), np.float64(0.27), np.float64(0.29), np.float64(0.31), np.float64(0.33), np.float64(0.36), np.float64(0.38), np.float64(0.4), np.float64(0.42), np.float64(0.44)]","[np.float64(146.67), np.float64(261.45), np.float64(443.39), np.float64(714.36), np.float64(1099.76), np.float64(1615.38), np.float64(2308.57), np.float64(3021.76), np.float64(3753.4), np.float64(4414.12), np.float64(4855.31)]",6726.63,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[312.5, 388.67, 448.42, 510.0, 573.7, 712.96, 802.96, 814.44, 757.41, 595.93, np.float64(4039.36)]","[277.78, 485.83, 811.43, 1303.33, 2065.33, 2961.54, 3941.82, 4886.67, 5842.86, 5363.33, np.float64(4039.36)]","[288.46, 364.38, 426.0, 488.75, 619.6, 770.0, 867.2, 1047.14, 1202.94, 1237.69, np.float64(4039.36)]",0.6414,0.1527,0.5333,9956.35,31979.28,11351.52
Network18 Media & Investments Limited (NSEI:NETWORK18),NSEI:NETWORK18,Broadcasting,Communication Services,5880,6223,9297,4799,6086,9955,74,183,801,97,209,322,120,128,210,11%,-1%,-17%,0%,0%,0%,518,518,518,237,157,14710,2284,6069,8156,6101,7236,16498,2876,3055,3681,259,916,11627,869,958,4188,5137,9051,20385,641,-2804,-6465,-249,-718,9929,-381,3411,1139,7665,49.7,56.89,"India’s Most Diversified Media Group Network18 Group is India’s only media and entertainment conglomerate with a presence across the complete spectrum of content genres – news, entertainment, sports, movies, and live entertainment, across multiple platforms like TV, digital, cinemas and on-ground. [1]",Mid,-336,346,1178,-0.036140691,0.055600193,0.200340136,0.073266546,154.2253521,0.824459503,11524.33333,36200,10925,6265,16013,3525,-77.20833333,8.112716763,15228,675,755,23384,6744,3039,-0.014368799,0.051304864,0.387627509,0.184735577,0.092577598,0.348785494,0.899911032,0.751563014,3.879559789,1.2,14.7,10.92598741,0.233118528,-1.067978918,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[15805, 25920, 40694, 61042, 87900, 121302, 158906, 197043, 232511, 260412, 273433]",TRUE,"[-0.04, -0.01, 0.02, 0.02, 0.08, 0.14, 0.2, 0.26, 0.32, 0.38, 0.44]","[-442.54, -181.44, 569.72, 854.59, 4922.4, 11887.6, 22246.84, 35861.83, 52082.46, 69269.59, 84217.36]",120942.71,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[5423.33, 6743.33, 7775.79, 8846.96, 9947.41, 12371.11, 13927.41, 14124.81, 13136.3, 10333.7, 70064.36]","[4820.74, 8429.17, 14070.48, 22608.89, 35810.67, 51387.69, 68370.91, 84748.89, 101337.14, 93003.33, 70064.36]","[5006.15, 6321.88, 7387.0, 8478.33, 10743.2, 13360.8, 15041.6, 18160.48, 20863.53, 21462.31, 70064.36]",0.5497,0.1364,0.4612,172694.51,554652.27,196889.64
New Delhi Television Limited (NSEI:NDTV),NSEI:NDTV,Broadcasting,Communication Services,396,386,370,294,328,398,23,25,22,10,3,5,19,17,9,12%,16%,7%,0%,0%,0%,26,26,26,207,254,233,22,8,113,225,179,228,68,49,133,0,0,36,32,32,35,379,385,395,155,-13,-68,-78,40,50,-81,-19,21,910,141,64.71,"Revenue Split The company majorly gets its revenue from advertisements sales, event sales and subscription revenue (DTH and cable operators). Advertising Sales : 63% in FY21 vs 65% in FY18 Subscription Revenue : 9% in FY21 vs 13% in FY18 Events : 4% in FY21 vs 8% in FY18 Other Business Income: 6% in FY21 vs 11% in FY18. [1] [2]",Small,-23,61,112,-0.062162162,0.158031088,0.282828283,0.126232403,6.453900709,2.459459459,386.3333333,466,417,411,0,52,-2.173913043,1.508196721,259,280,233,372,288,255,-0.061827957,0.211805556,0.439215686,-0.19047619,-0.303030303,0.303763441,0.027777778,0.08627451,29.12644141,1.4,15.9,19.91770935,0.61769616,-0.135135135,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[629, 1032, 1620, 2429, 3498, 4828, 6324, 7842, 9253, 10364, 10882]",TRUE,"[-0.06, -0.02, 0.02, 0.02, 0.08, 0.14, 0.2, 0.26, 0.32, 0.38, 0.44]","[-26.42, -14.45, 22.68, 34.01, 195.89, 473.14, 885.36, 1427.24, 2072.67, 2756.82, 3351.66]",4825.83,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[215.83, 268.67, 309.47, 351.74, 395.93, 492.59, 554.07, 562.22, 522.59, 411.48, 2788.4]","[191.85, 335.83, 560.0, 898.89, 1425.33, 2046.15, 2720.0, 3373.33, 4031.43, 3703.33, 2788.4]","[199.23, 251.88, 294.0, 337.08, 427.6, 532.0, 598.4, 722.86, 830.0, 854.62, 2788.4]",0.6186,0.1402,0.5087,6872.99,22074.54,7836.07
Next Mediaworks Limited (NSEI:NEXTMEDIA),NSEI:NEXTMEDIA,Broadcasting,Communication Services,26,36,38,36,38,41,5,5,-7,16,18,21,9,9,9,0%,0%,0%,0%,0%,0%,67,67,67,-118,-133,-155,158,188,213,-6,-30,-46,70,63,43,0,0,0,5,0,2,26,29,33,-11,-1,2,-5,3,-2,17,-2,5,46.8,7,74.99,"Next Radio Next Radio Limited was among the first private players to venture into private FM broadcasting and presently has established ""Radio One"" as the premium FM Brand in top 7 cities of the country being Delhi, Mumbai, Chennai, Kolkata, Bangalore, Pune, and Ahmedabad. The Company operates under frequency 94.3MHz in all its cities except for the city of Ahmedabad where it operates under the frequency 95 MHz. [1]",Nano,18,16,6,0.473684211,0.444444444,0.230769231,0.382965962,6.685714286,1.231578947,29.33333333,35,29,31,22,22,1.111111111,1.5625,-88,-66,-51,125,122,107,0.144,0.131147541,0.056074766,0.666666667,0.666666667,1.704,1.540983607,1.476635514,9.853401764,1.8,18.3,3.906996607,0.487179487,0.052631579,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[65, 106, 166, 249, 359, 496, 650, 805, 950, 1064, 1118]",FALSE,"[np.float64(0.47), np.float64(0.47), np.float64(0.47), np.float64(0.46), np.float64(0.46), np.float64(0.46), np.float64(0.45), np.float64(0.45), np.float64(0.45), np.float64(0.44), np.float64(0.44)]","[np.float64(21.38), np.float64(34.87), np.float64(54.61), np.float64(80.18), np.float64(115.6), np.float64(159.71), np.float64(204.75), np.float64(253.58), np.float64(299.25), np.float64(327.71), np.float64(344.34)]",461.37,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[22.5, 27.33, 31.58, 36.09, 40.74, 50.74, 57.04, 57.41, 53.7, 42.22, np.float64(286.47)]","[20.0, 34.17, 57.14, 92.22, 146.67, 210.77, 280.0, 344.44, 414.29, 380.0, np.float64(286.47)]","[20.77, 25.62, 30.0, 34.58, 44.0, 54.8, 61.6, 73.81, 85.29, 87.69, np.float64(286.47)]",0.602,0.1557,0.5095,705.82,2266.17,804.63
Sea TV Network Limited (BSE:533268),BSE:533268,Broadcasting,Communication Services,13,12,12,15,16,16,0,4,36,0,0,1,1,1,1,0%,0%,0%,0%,0%,0%,12,12,12,-81,-82,-52,68,67,26,21,22,30,9,9,8,0,0,0,0,0,0,12,10,7,-2,-1,8,0,0,0,3,1,-7,9.81,8.15,58.49,"Products & Services: [1] Set Top Boxes, Broadband Internet, Optical Fibre Cable, and Advanced Cable Network System",Nano,-3,-4,-2,-0.25,-0.333333333,-0.153846154,-0.245726496,1.203680982,0.8175,9.666666667,7,10,12,-11,-3,3.666666667,0.75,-40,-70,-69,-14,-3,-1,0.214285714,1.333333333,2,0,0.5,-1.857142857,-22.33333333,-68,1.282051282,1.8,18.3,49.9047619,0.8,0,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[20, 33, 53, 79, 113, 157, 205, 254, 300, 336, 353]",FALSE,"[-0.25, -0.08, 0.02, 0.02, 0.08, 0.14, 0.2, 0.26, 0.32, 0.38, 0.44]","[-3.5, -1.85, 0.74, 1.11, 6.33, 15.39, 28.7, 46.23, 67.2, 89.38, 108.72]",160.31,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[6.67, 8.67, 10.53, 11.3, 12.59, 16.3, 17.78, 18.15, 17.04, 13.33, 90.45]","[5.93, 10.83, 19.05, 28.89, 45.33, 67.69, 87.27, 108.89, 131.43, 120.0, 90.45]","[6.15, 8.12, 10.0, 10.83, 13.6, 17.6, 19.2, 23.33, 27.06, 27.69, 90.45]",0.7552,0.1462,0.5975,222.81,715.76,254.03
Sun TV Network Limited (NSEI:SUNTV),NSEI:SUNTV,Broadcasting,Communication Services,3585,3772,4282,1306,1379,1644,256,380,515,33,9,9,306,486,532,25%,25%,26%,33%,35%,34%,197,197,197,7958,9075,10339,95,63,38,648,814,847,1791,1729,1707,244,131,145,3589,5512,7061,3274,2775,2508,1634,2096,2171,-1026,-1553,-1313,-603,-631,-697,24831,630,75,"Business [1] Company is one of the largest Television Broadcasters in India operating Satellite Television Channels across six languages of Tamil, Telugu, Kannada, Malayalam, Marathi and Bangla and presently airing FM radio. The Company produces its own content / acquires the related rights. The Company is the owner of IPL franchise “SunRisers Hyderabad” & SunRisers Eastern Cape Cricket South Africa’s T20 League, and also opened a branch office in South Africa. The Company also operates an OTT platform “SUNNXT“",Large,2647,2402,2312,0.61816908,0.636797455,0.644909344,0.63329196,39.41428571,5.798925736,2852.333333,9714,8418,7107,1263,1145,-0.018889309,-0.169858451,10536,9272,8155,10574,9335,8250,0.250331001,0.257311194,0.280242424,0.411622276,0.17235023,0.00359372,0.006748795,0.011515152,24.23558897,1,13.5,13.53858071,0.374923387,0.306632415,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[7279, 11938, 18743, 28114, 40485, 55869, 73189, 90754, 107090, 119940, 125937]",TRUE,"[np.float64(0.62), np.float64(0.6), np.float64(0.58), np.float64(0.56), np.float64(0.55), np.float64(0.53), np.float64(0.51), np.float64(0.49), np.float64(0.48), np.float64(0.46), np.float64(0.44)]","[np.float64(3159.09), np.float64(5013.96), np.float64(7609.66), np.float64(11020.69), np.float64(15586.72), np.float64(20727.4), np.float64(26128.47), np.float64(31128.62), np.float64(35982.24), np.float64(38620.68), np.float64(38788.6)]",50899.3,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[2497.5, 3106.0, 3581.58, 4074.35, 4581.85, 5697.78, 6414.81, 6505.56, 6050.37, 4759.26, np.float64(32270.05)]","[2220.0, 3882.5, 6480.95, 10412.22, 16494.67, 23667.69, 31490.91, 39033.33, 46674.29, 42833.33, np.float64(32270.05)]","[2305.38, 2911.88, 3402.5, 3904.58, 4948.4, 6153.6, 6928.0, 8364.29, 9609.41, 9884.62, np.float64(32270.05)]",0.6677,0.1652,0.5598,79539.11,255459.94,90682.71
T.V. Today Network Limited (NSEI:TVTODAY),NSEI:TVTODAY,Broadcasting,Communication Services,930,878,952,686,747,863,44,34,33,3,3,3,42,41,41,25%,27%,27%,10%,473%,90%,30,30,30,1128,799,838,32,34,34,222,210,225,227,214,193,1,1,3,0,0,0,1183,857,930,235,41,15,-211,371,35,-22,-427,-28,1113,186,58.45,"Market Position Aaj Tak has maintained its leadership among Hindi news channels in the new Audience Measurement System BARC with a total viewership of 85 crore Gross AMAs. India Today Television has also obtained leadership positions in critical news and events. Good News Today has the second highest reach among Hindi news channels in the Freeview distribution platform, crossing news channels — Zee News, ABP News, Zee Hindustan, and Times Now Navbharat in terms of viewership. [1]",Small,92,134,247,0.096638655,0.15261959,0.265591398,0.171616548,5.983870968,1.169117647,990,933,858,1184,60,-314,1.032608696,0.425373134,868,829,1158,902,863,1190,0.101995565,0.155272306,0.207563025,1.897435897,0.159021407,0.037694013,0.039397451,0.026890756,9.007352941,1.4,15.9,15.64018847,0.845470693,-0.036764706,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[1618, 2654, 4167, 6251, 9001, 12421, 16272, 20177, 23809, 26666, 27999]",TRUE,"[np.float64(0.1), np.float64(0.13), np.float64(0.17), np.float64(0.2), np.float64(0.23), np.float64(0.27), np.float64(0.3), np.float64(0.34), np.float64(0.37), np.float64(0.41), np.float64(0.44)]","[np.float64(113.26), np.float64(241.51), np.float64(495.87), np.float64(875.14), np.float64(1449.16), np.float64(2347.57), np.float64(3417.12), np.float64(4802.13), np.float64(6166.53), np.float64(7653.14), np.float64(8623.69)]",12157.76,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[555.0, 690.67, 796.32, 906.09, 1018.52, 1266.67, 1426.3, 1446.3, 1345.19, 1058.15, np.float64(7174.45)]","[493.33, 863.33, 1440.95, 2315.56, 3666.67, 5261.54, 7001.82, 8677.78, 10377.14, 9523.33, np.float64(7174.45)]","[512.31, 647.5, 756.5, 868.33, 1100.0, 1368.0, 1540.4, 1859.52, 2136.47, 2197.69, np.float64(7174.45)]",0.6707,0.1515,0.551,17683.66,56795.9,20161.17
Zee Media Corporation Limited (NSEI:ZEEMEDIA),NSEI:ZEEMEDIA,Broadcasting,Communication Services,867,721,638,605,660,677,-212,-12,21,38,30,24,85,92,85,62%,-5%,-22%,0%,0%,0%,63,63,63,394,325,227,244,199,246,270,286,433,329,340,555,1,2,0,80,58,42,561,472,370,230,146,77,-166,-98,15,-120,-93,-92,975,15.6,1.62,"Product Profile: [1] [2] ZMCL is a part of the Essel group. It reaches to 220 million users through 15 news channels comprising 1 global, 3 national and 11 regional channels in the linear TV platform. It has also set up multi-lingual digital news platform i.e., Zeenews.com, wherein news is broadcast online in 9 languages – Hindi, English, Marathi, Bengali, Tamil, Telugu, Malayalam, Kannada and Gujarati. Company reaches out to 60+ million users through the digital platform . Its global channel WION, is available on Etisalat in MENA region and on Sky Channel in the UK market. From February 2023, ZMCL has moved out from Zee’s Channel Bouquet",Small,-15,91,300,-0.023510972,0.126213592,0.346020761,0.149574461,62.5,1.528213166,467.6666667,412,532,642,-267,-126,16.8,-2.461538462,290,388,457,536,587,701,-0.027985075,0.155025554,0.427960057,1.62745098,1.280701754,0.458955224,0.339011925,0.34807418,13.46841498,1.4,15.9,14.78401135,0.659772492,-0.023510972,"[70, 64, 57, 50, 44, 38, 31, 24, 18, 12, 5]","[1085, 1779, 2793, 4189, 6032, 8324, 10905, 13522, 15956, 17871, 18764]",TRUE,"[-0.02, -0.01, 0.02, 0.02, 0.08, 0.14, 0.2, 0.26, 0.32, 0.38, 0.44]","[-15.19, -12.45, 39.1, 58.65, 337.79, 815.75, 1526.7, 2461.0, 3574.14, 4753.69, 5779.31]",8277.86,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0601,"[372.5, 462.67, 533.68, 606.96, 682.59, 848.89, 955.93, 969.26, 901.48, 709.26, 4808.08]","[331.11, 578.33, 965.71, 1551.11, 2457.33, 3526.15, 4692.73, 5815.56, 6954.29, 6383.33, 4808.08]","[343.85, 433.75, 507.0, 581.67, 737.2, 916.8, 1032.4, 1246.19, 1431.76, 1473.08, 4808.08]",0.6272,0.1407,0.5145,11851.3,38063.73,13511.78
Bharti Airtel Limited (BSE:532454),BSE:532454,Telecom (Wireless),Communication Services,116547,139145,149982,59013,67871,71691,4656,1019,-3428,16616,19300,22648,"33,091","36,432","39,538",33%,26%,32%,39%,27%,62%,2795,2837,2877,63759,74726,79142,169678,226020,215592,124975,140974,144408,244083,277394,303303,5955,49425,16904,29349,32954,31602,81820,84784,90210,55017,65325,78898,-41478,-39232,-51089,-15203,-24470,-27778,968968,1619,53.12,"Segments & Presence [1] Mobile, Broadband, DTH and Bank. The company has operations in India, Africa, Bangladesh and Sri Lanka.",Large,100939,90574,74150,0.673007428,0.650932481,0.636224013,0.653387974,598.4978382,6.460561934,85604.66667,138716,167163,117124,-31881,34040,-0.821981593,-0.057323294,82019,77563,66554,297611,303583,236232,0.339164211,0.298350039,0.313886349,-1.814634963,0.335525827,0.724408708,0.744508092,0.718268482,9.612253821,1,13.5,10.68368281,0.339311206,0.340634209,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[157481, 165355, 173623, 182304, 191419, 200990, 211040, 221592, 232671, 244305, 256520]",TRUE,"[np.float64(0.67), np.float64(0.66), np.float64(0.65), np.float64(0.64), np.float64(0.63), np.float64(0.62), np.float64(0.61), np.float64(0.6), np.float64(0.59), np.float64(0.58), np.float64(0.57)]","[np.float64(73858.59), np.float64(76394.01), np.float64(78998.46), np.float64(81672.19), np.float64(84415.78), np.float64(87229.66), np.float64(90114.08), np.float64(93068.64), np.float64(96093.12), np.float64(99187.83), np.float64(102351.48)]",40704.13,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0637,"[6249.17, 5249.33, 4351.58, 3774.35, 3375.93, 3544.81, 3722.22, 3908.15, 4103.33, 4308.89, np.float64(80338.68)]","[5554.81, 6561.67, 7874.29, 9645.56, 12153.33, 14724.62, 18272.73, 23448.89, 31654.29, 38780.0, np.float64(80338.68)]","[5768.46, 4921.25, 4134.0, 3617.08, 3646.0, 3828.4, 4020.0, 5024.76, 6517.06, 8949.23, np.float64(80338.68)]",0.2916,0.2127,0.285,122926.44,249008.87,130764.92
